Наименование,Цена,Количество
Коронка алмазная по керамограниту 40 мм Hilberg/УШМ,2020₽/шт, 33 шт
Коронка алмазная по керамограниту 45 мм Hilberg/УШМ,2235₽/шт, 20 шт
Коронка алмазная по керамограниту 68 мм Hilberg/УШМ,3315₽/шт, 28 шт
Домкрат гидравлический 5 т 195--385 мм AUTOVIRAZH (AV-074205),1630₽/шт, 0 шт
Домкрат гидравлический 5 т 216-413 мм АВТОДЕЛО (43305),1730₽/шт, 12 шт
Домкрат гидравлический 6 т 216-413 мм АВТОДЕЛО (43306),2050₽/шт, 8 шт
Домкрат гидравлический 12 т 210-415 мм низкий подхват АВТОДЕЛО (43120),2900₽/шт, 7 шт
Домкрат гидравлический 20 т 217-407 мм низкий подхват АВТОДЕЛО (43200),4400₽/шт, 6 шт
Домкрат гидравлический 20 т 220-360 мм AUTOVIRAZH (AV-074220),3400₽/шт, 0 шт
"Домкрат гидравлический ДГ 30 т 260-430 мм ""TOR""",5050₽/шт, 0 шт
"Домкрат гидравлический 50 т 250-420 мм ""TOR""",7335₽/шт, 1 шт
Домкрат подкатной 2 т 130-345 мм АВТОДЕЛО (43219),3520₽/шт, 3 шт
Домкрат подкатной 2 т 140-387 мм БМ (172006),4520₽/шт, 3 шт
"Домкрат реечный ДР-3000, 3 т, ""TOR""",13260₽/шт, 2 шт
"Домкрат реечный ДР-5000, 5 т, ""TOR""",19900₽/шт, 1 шт
"Домкрат реечный низкий подхват ДРН-5000, 5 т, ""TOR""",23900₽/шт, 1 шт
"Монтажно-тяговый механизм МТМ-1600 (1600 кг, 20м) ""ТОР""",15860₽/шт, 1 шт
"Монтажно-тяговый механизм МТМ-3200 (3200 кг, 20м) ""ТОР""",21600₽/шт, 1 шт
Монтировка монтажная 600 мм (под домкрат),660₽/шт, 40 шт
Шприц рычажно-плунжерный 300 мл АВТОДЕЛО (42024),680₽/шт, 20 шт
Шприц рычажно-плунжерный 400 мл АВТОДЕЛО (42040),920₽/шт, 19 шт
Шприц рычажно-плунжерный 500 мл АВТОДЕЛО (42022),1320₽/шт, 16 шт
"Ремень буксировочный РБ5 - 5,0т/5 м с крюками",725₽/шт, 5 шт
"Строп текстильный СТП 1,0тн/1000мм (ширина 30мм)",158₽/шт, 93 шт
"Строп текстильный СТП 1,0тн/2000мм (ширина 30мм)",225₽/шт, 69 шт
"Строп текстильный СТП 1,0тн/3000мм (ширина 30мм)",310₽/шт, 29 шт
"Строп текстильный СТП 1,0тн/4000мм (ширина 30мм)",400₽/шт, 9 шт
"Строп текстильный СТП 1,0тн/5000мм (ширина 30мм)",460₽/шт, 7 шт
"Строп текстильный СТП 2,0тн/2000мм (ширина 60мм)",395₽/шт, 93 шт
"Строп текстильный СТП 2,0тн/3000мм (ширина 60мм)",530₽/шт, 73 шт
"Строп текстильный СТП 2,0тн/4000мм (ширина 60мм)",675₽/шт, 54 шт
"Строп текстильный СТП 2,0тн/5000мм (ширина 60мм)",790₽/шт, 13 шт
"Строп текстильный СТП 2,0тн/6000мм (ширина 60мм)",920₽/шт, 28 шт
"Строп текстильный СТП 3,0тн/3000мм (ширина 90мм)",715₽/шт, 123 шт
"Строп текстильный СТП 3,0тн/4000мм (ширина 90мм)",940₽/шт, 82 шт
"Строп текстильный СТП 3,0тн/5000мм (ширина 90мм)",1140₽/шт, 43 шт
"Строп текстильный СТП 3,0тн/6000мм (ширина 90мм)",1350₽/шт, 63 шт
"Строп текстильный СТП 4,0тн/3000мм (ширина 120мм)",990₽/шт, 21 шт
"Строп текстильный СТП 4,0тн/4000мм (ширина 120мм)",1270₽/шт, 41 шт
"Строп текстильный СТП 4,0тн/5000мм (ширина 120мм)",1580₽/шт, 29 шт
"Строп текстильный СТП 4,0тн/6000мм (ширина 120мм)",1815₽/шт, 13 шт
"Строп текстильный СТП 5,0тн/2000мм (ширина 150мм)",950₽/шт, 12 шт
"Строп текстильный СТП 5,0тн/4000мм (ширина 150мм)",1765₽/шт, 22 шт
"Строп текстильный СТП 5,0тн/5000мм (ширина 150мм)",2115₽/шт, 42 шт
"Строп текстильный СТП 5,0тн/6000мм (ширина 150мм)",2575₽/шт, 35 шт
"Строп текстильный СТП 6,0тн/3000мм (ширина 180мм)",1530₽/шт, 14 шт
"Строп текстильный СТП 6,0тн/4000мм (ширина 180мм)",1940₽/шт, 3 шт
"Строп текстильный СТП 6,0тн/5000мм (ширина 180мм)",2495₽/шт, 5 шт
"Строп текстильный СТП 6,0тн/6000мм (ширина 180мм)",2910₽/шт, 11 шт
"Строп текстильный СТП 8,0тн/5000мм (ширина 240мм)",3570₽/шт, 4 шт
"Строп текстильный СТП 8,0тн/6000мм (ширина 240мм)",4460₽/шт, 3 шт
"Строп текстильный СТП 8,0тн/8000мм (ширина 240мм)",5540₽/шт, 2 шт
"Строп текстильный СТП 10,0тн/5000мм (ширина 300мм)",4365₽/шт, 6 шт
"Захват для бетонных колец, Q=2т, L=1,5м (две ветви)",15425₽/шт, 0 шт
"Захват для бетонных колец, Q=3т, L=2м (три ветви)",23840₽/шт, 0 шт
"Строп цепной 1СЦ с крюком SKHL (1,12т/1м)*",925₽/шт, 0 шт
"Строп цепной 1СЦ с крюком SKHL (1,12т/2м)*",1220₽/шт, 0 шт
"Строп цепной 1СЦ с крюком SKHL (1,12т/3м)*",1510₽/шт, 0 шт
Строп цепной 1СЦ с крюком SKHL (2т/2м)*,1750₽/шт, 0 шт
Строп цепной 1СЦ с крюком SKHL (2т/3м)*,2265₽/шт, 0 шт
"Строп цепной 1СЦ с крюком SKHL (2т/3м, укоротитель цепи)*",2430₽/шт, 0 шт
Строп цепной 1СЦ с крюком SKHL (2т/4м)*,2780₽/шт, 0 шт
Строп цепной 1СЦ с крюком SKHL (2т/6м)*,3810₽/шт, 0 шт
"Строп цепной 1СЦ с крюком SKHL (3,15т/1м, укоротитель цепи)*",2230₽/шт, 0 шт
"Строп цепной 1СЦ с крюком SKHL (3,15т/2м)*",2515₽/шт, 0 шт
"Строп цепной 1СЦ с крюком SKHL (3,15т/2м, укоротитель цепи)*",2925₽/шт, 0 шт
"Строп цепной 1СЦ с крюком SKHL (3,15т/3м)*",3400₽/шт, 0 шт
"Строп цепной 1СЦ с крюком SKHL (3,15т/4м)*",3895₽/шт, 0 шт
"Строп цепной 1СЦ с крюком SKHL (3,15т/5м)*",4590₽/шт, 0 шт
"Строп цепной 1СЦ с крюком SKHL (3,15т/6м)*",5280₽/шт, 0 шт
"Строп цепной 1СЦ с крюком SKHL (5,3т/1,0м)",3345₽/шт, 0 шт
"Строп цепной 1СЦ с крюком SKHL (5,3т/2,0м)",4565₽/шт, 0 шт
"Строп цепной 1СЦ с крюком SKHL (5,3т/2,0м, укоротитель цепи)",5305₽/шт, 0 шт
"Строп цепной 1СЦ с крюком SKHL (5,3т/2,0м)",5955₽/шт, 0 шт
